,0,1,2
10817,R-HSA-2474795,Diseases associated with visual transduction,Homo sapiens
10818,R-HSA-9605308,Diseases of Base Excision Repair,Homo sapiens
10819,R-HSA-9630747,Diseases of Cellular Senescence,Homo sapiens
10820,R-HSA-9675135,Diseases of DNA repair,Homo sapiens
10821,R-HSA-5260271,Diseases of Immune System,Homo sapiens
10822,R-HSA-5423599,Diseases of Mismatch Repair (MMR),Homo sapiens
10823,R-HSA-5663084,Diseases of carbohydrate metabolism,Homo sapiens
10824,R-HSA-9675132,Diseases of cellular response to stress,Homo sapiens
10825,R-HSA-3781865,Diseases of glycosylation,Homo sapiens
10826,R-HSA-5668914,Diseases of metabolism,Homo sapiens
10827,R-HSA-9645723,Diseases of programmed cell death,Homo sapiens
10828,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,Homo sapiens
10829,R-HSA-9675143,Diseases of the neuronal system,Homo sapiens
10830,R-HSA-114516,Disinhibition of SNARE formation,Homo sapiens
10831,R-HSA-9675151,Disorders of developmental biology,Homo sapiens
10832,R-HSA-5619115,Disorders of transmembrane transporters,Homo sapiens
10833,R-HSA-110357,Displacement of DNA glycosylase by APEX1,Homo sapiens
10834,R-HSA-75205,Dissolution of Fibrin Clot,Homo sapiens
10835,R-HSA-212676,Dopamine Neurotransmitter Release Cycle,Homo sapiens
10836,R-HSA-379401,Dopamine clearance from the synaptic cleft,Homo sapiens
10837,R-HSA-390651,Dopamine receptors,Homo sapiens
10838,R-HSA-8863795,Downregulation of ERBB2 signaling,Homo sapiens
10839,R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling,Homo sapiens
10840,R-HSA-1253288,Downregulation of ERBB4 signaling,Homo sapiens
10841,R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,Homo sapiens
10842,R-HSA-2173788,Downregulation of TGF-beta receptor signaling,Homo sapiens
10843,R-HSA-202424,Downstream TCR signaling,Homo sapiens
10844,R-HSA-186763,Downstream signal transduction,Homo sapiens
10845,R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),Homo sapiens
10846,R-HSA-5654687,Downstream signaling of activated FGFR1,Homo sapiens
10847,R-HSA-5654696,Downstream signaling of activated FGFR2,Homo sapiens
10848,R-HSA-5654708,Downstream signaling of activated FGFR3,Homo sapiens
10849,R-HSA-5654716,Downstream signaling of activated FGFR4,Homo sapiens
10850,R-HSA-9665230,Drug resistance in ERBB2 KD mutants,Homo sapiens
10851,R-HSA-9665737,Drug resistance in ERBB2 TMD/JMD mutants,Homo sapiens
10852,R-HSA-9674415,Drug resistance of PDGFR mutants,Homo sapiens
10853,R-HSA-9652282,Drug-mediated inhibition of ERBB2 signaling,Homo sapiens
10854,R-HSA-5696400,Dual Incision in GG-NER,Homo sapiens
10855,R-HSA-6782135,Dual incision in TC-NER,Homo sapiens
10856,R-HSA-113510,E2F mediated regulation of DNA replication,Homo sapiens
10857,R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,Homo sapiens
10858,R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,Homo sapiens
10859,R-HSA-3000178,ECM proteoglycans,Homo sapiens
10860,R-HSA-2179392,EGFR Transactivation by Gastrin,Homo sapiens
10861,R-HSA-182971,EGFR downregulation,Homo sapiens
10862,R-HSA-212718,EGFR interacts with phospholipase C-gamma,Homo sapiens
10863,R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,Homo sapiens
10864,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,Homo sapiens
10865,R-HSA-2682334,EPH-Ephrin signaling,Homo sapiens
10866,R-HSA-3928665,EPH-ephrin mediated repulsion of cells,Homo sapiens
10867,R-HSA-3928663,EPHA-mediated growth cone collapse,Homo sapiens
10868,R-HSA-3928662,EPHB-mediated forward signaling,Homo sapiens
10869,R-HSA-901032,ER Quality Control Compartment (ERQC),Homo sapiens
10870,R-HSA-199977,ER to Golgi Anterograde Transport,Homo sapiens
10871,R-HSA-1236974,ER-Phagosome pathway,Homo sapiens
10872,R-HSA-8847993,ERBB2 Activates PTK6 Signaling,Homo sapiens
10873,R-HSA-6785631,ERBB2 Regulates Cell Motility,Homo sapiens
10874,R-HSA-427389,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,Homo sapiens
10875,R-HSA-198753,ERK/MAPK targets,Homo sapiens
10876,R-HSA-202670,ERKs are inactivated,Homo sapiens
10877,R-HSA-8939211,ESR-mediated signaling,Homo sapiens
10878,R-HSA-162594,Early Phase of HIV Life Cycle,Homo sapiens
10879,R-HSA-114508,Effects of PIP2 hydrolysis,Homo sapiens
10880,R-HSA-391903,Eicosanoid ligand-binding receptors,Homo sapiens
10881,R-HSA-211979,Eicosanoids,Homo sapiens
10882,R-HSA-1566948,Elastic fibre formation,Homo sapiens
10883,R-HSA-112303,Electric Transmission Across Gap Junctions,Homo sapiens
10884,R-HSA-2395516,Electron transport from NADPH to Ferredoxin,Homo sapiens
10885,R-HSA-139853,Elevation of cytosolic Ca2+ levels,Homo sapiens
10886,R-HSA-211976,Endogenous sterols,Homo sapiens
10887,R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),Homo sapiens
10888,R-HSA-1236977,Endosomal/Vacuolar pathway,Homo sapiens
10889,R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,Homo sapiens
10890,R-HSA-168275,Entry of Influenza Virion into Host Cell via Endocytosis,Homo sapiens
10891,R-HSA-379398,Enzymatic degradation of Dopamine by monoamine oxidase,Homo sapiens
10892,R-HSA-379397,Enzymatic degradation of dopamine by COMT,Homo sapiens
10893,R-HSA-3928664,Ephrin signaling,Homo sapiens
10894,R-HSA-212165,Epigenetic regulation of gene expression,Homo sapiens
10895,R-HSA-1237044,Erythrocytes take up carbon dioxide and release oxygen,Homo sapiens
10896,R-HSA-1247673,Erythrocytes take up oxygen and release carbon dioxide,Homo sapiens
10897,R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),Homo sapiens
10898,R-HSA-9027277,Erythropoietin activates Phospholipase C gamma (PLCG),Homo sapiens
10899,R-HSA-9027284,Erythropoietin activates RAS,Homo sapiens
10900,R-HSA-9027283,Erythropoietin activates STAT5,Homo sapiens
10901,R-HSA-9637679,Escape of Mtb from the phagocyte,Homo sapiens
10902,R-HSA-5657562,Essential fructosuria,Homo sapiens
10903,R-HSA-5662853,Essential pentosuria,Homo sapiens
10904,R-HSA-2468052,Establishment of Sister Chromatid Cohesion,Homo sapiens
10905,R-HSA-193144,Estrogen biosynthesis,Homo sapiens
10906,R-HSA-9018519,Estrogen-dependent gene expression,Homo sapiens
10907,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Homo sapiens
10908,R-HSA-9634635,Estrogen-stimulated signaling through PRKCZ,Homo sapiens
10909,R-HSA-71384,Ethanol oxidation,Homo sapiens
10910,R-HSA-156842,Eukaryotic Translation Elongation,Homo sapiens
10911,R-HSA-72613,Eukaryotic Translation Initiation,Homo sapiens
10912,R-HSA-72764,Eukaryotic Translation Termination,Homo sapiens
10913,R-HSA-9630791,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,Homo sapiens
10914,R-HSA-9630794,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,Homo sapiens
10915,R-HSA-9646303,Evasion of Oncogene Induced Senescence Due to p14ARF Defects,Homo sapiens
10916,R-HSA-9630750,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,Homo sapiens
10917,R-HSA-9632697,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,Homo sapiens
10918,R-HSA-9632700,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,Homo sapiens
10919,R-HSA-9646304,Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects,Homo sapiens
10920,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,Homo sapiens
10921,R-HSA-8941413,Events associated with phagocytolytic activity of PMN cells,Homo sapiens
10922,R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,Homo sapiens
10923,R-HSA-9036866,Expression and Processing of Neurotrophins,Homo sapiens
10924,R-HSA-180786,Extension of Telomeres,Homo sapiens
10925,R-HSA-9009391,Extra-nuclear estrogen signaling,Homo sapiens
10926,R-HSA-1474244,Extracellular matrix organization,Homo sapiens
10927,R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation,Homo sapiens
10928,R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,Homo sapiens
10929,R-HSA-2644605,FBXW7 Mutants and NOTCH1 in Cancer,Homo sapiens
10930,R-HSA-2871809,FCERI mediated Ca+2 mobilization,Homo sapiens
10931,R-HSA-2871796,FCERI mediated MAPK activation,Homo sapiens
10932,R-HSA-2871837,FCERI mediated NF-kB activation,Homo sapiens
10933,R-HSA-2029481,FCGR activation,Homo sapiens
10934,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,Homo sapiens
10935,R-HSA-9664422,FCGR3A-mediated phagocytosis,Homo sapiens
10936,R-HSA-190242,FGFR1 ligand binding and activation,Homo sapiens
10937,R-HSA-1839124,FGFR1 mutant receptor activation,Homo sapiens
10938,R-HSA-190370,FGFR1b ligand binding and activation,Homo sapiens
10939,R-HSA-190374,FGFR1c and Klotho ligand binding and activation,Homo sapiens
10940,R-HSA-190373,FGFR1c ligand binding and activation,Homo sapiens
10941,R-HSA-6803529,FGFR2 alternative splicing,Homo sapiens
10942,R-HSA-190241,FGFR2 ligand binding and activation,Homo sapiens
10943,R-HSA-1839126,FGFR2 mutant receptor activation,Homo sapiens
10944,R-HSA-190377,FGFR2b ligand binding and activation,Homo sapiens
10945,R-HSA-190375,FGFR2c ligand binding and activation,Homo sapiens
10946,R-HSA-190239,FGFR3 ligand binding and activation,Homo sapiens
10947,R-HSA-2033514,FGFR3 mutant receptor activation,Homo sapiens
10948,R-HSA-190371,FGFR3b ligand binding and activation,Homo sapiens
10949,R-HSA-190372,FGFR3c ligand binding and activation,Homo sapiens
10950,R-HSA-190322,FGFR4 ligand binding and activation,Homo sapiens
10951,R-HSA-1839128,FGFR4 mutant receptor activation,Homo sapiens
10952,R-HSA-5658623,FGFRL1 modulation of FGFR1 signaling,Homo sapiens
10953,R-HSA-9607240,FLT3 Signaling,Homo sapiens
10954,R-HSA-217271,FMO oxidises nucleophiles,Homo sapiens
10955,R-HSA-9614085,FOXO-mediated transcription,Homo sapiens
10956,R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,Homo sapiens
10957,R-HSA-9614657,FOXO-mediated transcription of cell death genes,Homo sapiens
10958,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Homo sapiens
10959,R-HSA-5654693,FRS-mediated FGFR1 signaling,Homo sapiens
10960,R-HSA-5654700,FRS-mediated FGFR2 signaling,Homo sapiens
10961,R-HSA-5654706,FRS-mediated FGFR3 signaling,Homo sapiens
10962,R-HSA-5654712,FRS-mediated FGFR4 signaling,Homo sapiens
10963,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,Homo sapiens
10964,R-HSA-6783310,Fanconi Anemia Pathway,Homo sapiens
10965,R-HSA-75157,FasL/ CD95L signaling,Homo sapiens
10966,R-HSA-434316,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Homo sapiens
10967,R-HSA-8978868,Fatty acid metabolism,Homo sapiens
10968,R-HSA-211935,Fatty acids,Homo sapiens
10969,R-HSA-75105,Fatty acyl-CoA biosynthesis,Homo sapiens
10970,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,Homo sapiens
10971,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,Homo sapiens
10972,R-HSA-1187000,Fertilization,Homo sapiens
10973,R-HSA-1566977,Fibronectin matrix formation,Homo sapiens
10974,R-HSA-2855086,Ficolins bind to repetitive carbohydrate structures on the target cell surface,Homo sapiens
10975,R-HSA-390450,Folding of actin by CCT/TriC,Homo sapiens
10976,R-HSA-163210,Formation of ATP by chemiosmotic coupling,Homo sapiens
10977,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),Homo sapiens
10978,R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,Homo sapiens
10979,R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,Homo sapiens
10980,R-HSA-5696395,Formation of Incision Complex in GG-NER,Homo sapiens
10981,R-HSA-112382,Formation of RNA Pol II elongation complex ,Homo sapiens
10982,R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),Homo sapiens
10983,R-HSA-6781823,Formation of TC-NER Pre-Incision Complex,Homo sapiens
10984,R-HSA-72689,Formation of a pool of free 40S subunits,Homo sapiens
10985,R-HSA-196025,Formation of annular gap junctions,Homo sapiens
10986,R-HSA-111458,Formation of apoptosome,Homo sapiens
10987,R-HSA-77042,Formation of editosomes by ADAR proteins,Homo sapiens
10988,R-HSA-2408499,Formation of selenosugars for excretion,Homo sapiens
10989,R-HSA-113418,Formation of the Early Elongation Complex,Homo sapiens
10990,R-HSA-75094,Formation of the Editosome,Homo sapiens
10991,R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,Homo sapiens
10992,R-HSA-173599,"Formation of the active cofactor, UDP-glucuronate",Homo sapiens
10993,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,Homo sapiens
10994,R-HSA-6809371,Formation of the cornified envelope,Homo sapiens
10995,R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",Homo sapiens
10996,R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,Homo sapiens
10997,R-HSA-5661270,Formation of xylulose-5-phosphate,Homo sapiens
10998,R-HSA-444473,Formyl peptide receptors bind formyl peptides and many other ligands,Homo sapiens
10999,R-HSA-444209,Free fatty acid receptors,Homo sapiens
11000,R-HSA-400451,Free fatty acids regulate insulin secretion,Homo sapiens
11001,R-HSA-170968,Frs2-mediated activation,Homo sapiens
11002,R-HSA-5652227,Fructose biosynthesis,Homo sapiens
11003,R-HSA-70350,Fructose catabolism,Homo sapiens
11004,R-HSA-5652084,Fructose metabolism,Homo sapiens
11005,R-HSA-168270,Fusion and Uncoating of the Influenza Virion,Homo sapiens
11006,R-HSA-168288,Fusion of the Influenza Virion to the Host Cell Endosome,Homo sapiens
11007,R-HSA-416482,G alpha (12/13) signalling events,Homo sapiens
11008,R-HSA-418594,G alpha (i) signalling events,Homo sapiens
11009,R-HSA-416476,G alpha (q) signalling events,Homo sapiens
11010,R-HSA-418555,G alpha (s) signalling events,Homo sapiens
11011,R-HSA-418597,G alpha (z) signalling events,Homo sapiens
11012,R-HSA-8964315,G beta:gamma signalling through BTK,Homo sapiens
11013,R-HSA-8964616,G beta:gamma signalling through CDC42,Homo sapiens
11014,R-HSA-392451,G beta:gamma signalling through PI3Kgamma,Homo sapiens
11015,R-HSA-418217,G beta:gamma signalling through PLC beta,Homo sapiens
11016,R-HSA-1296059,G protein gated Potassium channels,Homo sapiens
11017,R-HSA-202040,G-protein activation,Homo sapiens
11018,R-HSA-397795,G-protein beta:gamma signalling,Homo sapiens
11019,R-HSA-112040,G-protein mediated events,Homo sapiens
11020,R-HSA-1538133,G0 and Early G1,Homo sapiens
11021,R-HSA-69236,G1 Phase,Homo sapiens
11022,R-HSA-69615,G1/S DNA Damage Checkpoints,Homo sapiens
11023,R-HSA-69206,G1/S Transition,Homo sapiens
11024,R-HSA-69205,G1/S-Specific Transcription,Homo sapiens
11025,R-HSA-68911,G2 Phase,Homo sapiens
11026,R-HSA-69481,G2/M Checkpoints,Homo sapiens
11027,R-HSA-69473,G2/M DNA damage checkpoint,Homo sapiens
11028,R-HSA-69478,G2/M DNA replication checkpoint,Homo sapiens
11029,R-HSA-69275,G2/M Transition,Homo sapiens
11030,R-HSA-180292,GAB1 signalosome,Homo sapiens
11031,R-HSA-977444,GABA B receptor activation,Homo sapiens
11032,R-HSA-977443,GABA receptor activation,Homo sapiens
11033,R-HSA-888568,GABA synthesis,Homo sapiens
11034,R-HSA-888590,"GABA synthesis, release, reuptake and degradation",Homo sapiens
11035,R-HSA-6787639,GDP-fucose biosynthesis,Homo sapiens
11036,R-HSA-5635851,GLI proteins bind promoters of Hh responsive genes to promote transcription,Homo sapiens
11037,R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,Homo sapiens
11038,R-HSA-430116,GP1b-IX-V activation signalling,Homo sapiens
11039,R-HSA-388396,GPCR downstream signalling,Homo sapiens
11040,R-HSA-500792,GPCR ligand binding,Homo sapiens
11041,R-HSA-114604,GPVI-mediated activation cascade,Homo sapiens
11042,R-HSA-179812,GRB2 events in EGFR signaling,Homo sapiens
11043,R-HSA-1963640,GRB2 events in ERBB2 signaling,Homo sapiens
11044,R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins ,Homo sapiens
11045,R-HSA-1306955,GRB7 events in ERBB2 signaling,Homo sapiens
11046,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,Homo sapiens
11047,R-HSA-70370,Galactose catabolism,Homo sapiens
11048,R-HSA-163841,"Gamma carboxylation, hypusine formation and arylsulfatase activation",Homo sapiens
11049,R-HSA-159740,Gamma-carboxylation of protein precursors,Homo sapiens
11050,R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",Homo sapiens
11051,R-HSA-190861,Gap junction assembly,Homo sapiens
11052,R-HSA-190873,Gap junction degradation,Homo sapiens
11053,R-HSA-190828,Gap junction trafficking,Homo sapiens
11054,R-HSA-157858,Gap junction trafficking and regulation,Homo sapiens
11055,R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,Homo sapiens
11056,R-HSA-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER,Homo sapiens
11057,R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,Homo sapiens
11058,R-HSA-211000,Gene Silencing by RNA,Homo sapiens
11059,R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Homo sapiens
11060,R-HSA-74160,Gene expression (Transcription),Homo sapiens
11061,R-HSA-202433,Generation of second messenger molecules,Homo sapiens
11062,R-HSA-212436,Generic Transcription Pathway,Homo sapiens
11063,R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),Homo sapiens
11064,R-HSA-163359,Glucagon signaling in metabolic regulation,Homo sapiens
11065,R-HSA-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Homo sapiens
11066,R-HSA-420092,Glucagon-type ligand receptors,Homo sapiens
11067,R-HSA-194002,Glucocorticoid biosynthesis,Homo sapiens
11068,R-HSA-70263,Gluconeogenesis,Homo sapiens
11069,R-HSA-70326,Glucose metabolism,Homo sapiens
11070,R-HSA-156588,Glucuronidation,Homo sapiens
11071,R-HSA-210500,Glutamate Neurotransmitter Release Cycle,Homo sapiens
11072,R-HSA-8964539,Glutamate and glutamine metabolism,Homo sapiens
11073,R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",Homo sapiens
11074,R-HSA-156590,Glutathione conjugation,Homo sapiens
11075,R-HSA-174403,Glutathione synthesis and recycling,Homo sapiens
11076,R-HSA-1483206,Glycerophospholipid biosynthesis,Homo sapiens
11077,R-HSA-6814848,Glycerophospholipid catabolism,Homo sapiens
11078,R-HSA-6783984,Glycine degradation,Homo sapiens
11079,R-HSA-70221,Glycogen breakdown (glycogenolysis),Homo sapiens
11080,R-HSA-8982491,Glycogen metabolism,Homo sapiens
11081,R-HSA-3858516,Glycogen storage disease type 0 (liver GYS2),Homo sapiens
11082,R-HSA-3828062,Glycogen storage disease type 0 (muscle GYS1),Homo sapiens
11083,R-HSA-5357609,Glycogen storage disease type II (GAA),Homo sapiens
11084,R-HSA-3878781,Glycogen storage disease type IV (GBE1),Homo sapiens
11085,R-HSA-3274531,Glycogen storage disease type Ia (G6PC),Homo sapiens
11086,R-HSA-3229133,Glycogen storage disease type Ib (SLC37A4),Homo sapiens
11087,R-HSA-3814836,Glycogen storage disease type XV (GYG1),Homo sapiens
11088,R-HSA-3229121,Glycogen storage diseases,Homo sapiens
11089,R-HSA-3322077,Glycogen synthesis,Homo sapiens
11090,R-HSA-70171,Glycolysis,Homo sapiens
11091,R-HSA-209822,Glycoprotein hormones,Homo sapiens
11092,R-HSA-1630316,Glycosaminoglycan metabolism,Homo sapiens
11093,R-HSA-1660662,Glycosphingolipid metabolism,Homo sapiens
11094,R-HSA-389661,Glyoxylate metabolism and glycine degradation,Homo sapiens
11095,R-HSA-432722,Golgi Associated Vesicle Biogenesis,Homo sapiens
11096,R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,Homo sapiens
11097,R-HSA-8856688,Golgi-to-ER retrograde transport,Homo sapiens
11098,R-HSA-982772,Growth hormone receptor signaling,Homo sapiens
11099,R-HSA-3214847,HATs acetylate histones,Homo sapiens
11100,R-HSA-9609690,HCMV Early Events,Homo sapiens
11101,R-HSA-9609646,HCMV Infection,Homo sapiens
11102,R-HSA-9610379,HCMV Late Events,Homo sapiens
11103,R-HSA-1296061,HCN channels,Homo sapiens
11104,R-HSA-3214815,HDACs deacetylate histones,Homo sapiens
11105,R-HSA-8963896,HDL assembly,Homo sapiens
11106,R-HSA-8964011,HDL clearance,Homo sapiens
11107,R-HSA-8964058,HDL remodeling,Homo sapiens
11108,R-HSA-3214842,HDMs demethylate histones,Homo sapiens
11109,R-HSA-5685942,HDR through Homologous Recombination (HRR),Homo sapiens
11110,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),Homo sapiens
11111,R-HSA-5685939,HDR through MMEJ (alt-NHEJ),Homo sapiens
11112,R-HSA-5685938,HDR through Single Strand Annealing (SSA),Homo sapiens
11113,R-HSA-5658034,HHAT G278V abrogates palmitoylation of Hh-Np,Homo sapiens
11114,R-HSA-162906,HIV Infection,Homo sapiens
11115,R-HSA-162587,HIV Life Cycle,Homo sapiens
11116,R-HSA-167169,HIV Transcription Elongation,Homo sapiens
11117,R-HSA-167161,HIV Transcription Initiation,Homo sapiens
11118,R-HSA-167287,HIV elongation arrest and recovery,Homo sapiens
11119,R-HSA-2022928,HS-GAG biosynthesis,Homo sapiens
11120,R-HSA-2024096,HS-GAG degradation,Homo sapiens
11121,R-HSA-3371511,HSF1 activation,Homo sapiens
11122,R-HSA-3371571,HSF1-dependent transactivation,Homo sapiens
11123,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR),Homo sapiens
11124,R-HSA-5610787,Hedgehog 'off' state,Homo sapiens
11125,R-HSA-5632684,Hedgehog 'on' state,Homo sapiens
11126,R-HSA-5358346,Hedgehog ligand biogenesis,Homo sapiens
11127,R-HSA-189451,Heme biosynthesis,Homo sapiens
11128,R-HSA-189483,Heme degradation,Homo sapiens
11129,R-HSA-109582,Hemostasis,Homo sapiens
11130,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,Homo sapiens
11131,R-HSA-5657560,Hereditary fructose intolerance,Homo sapiens
11132,R-HSA-5387390,Hh mutants abrogate ligand secretion,Homo sapiens
11133,R-HSA-5362768,Hh mutants that don't undergo autocatalytic processing are degraded by ERAD,Homo sapiens
11134,R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,Homo sapiens
11135,R-HSA-629594,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,Homo sapiens
11136,R-HSA-629587,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,Homo sapiens
11137,R-HSA-390650,Histamine receptors,Homo sapiens
11138,R-HSA-70921,Histidine catabolism,Homo sapiens
11139,R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,Homo sapiens
11140,R-HSA-5693538,Homology Directed Repair,Homo sapiens
11141,R-HSA-375281,Hormone ligand-binding receptors,Homo sapiens
11142,R-HSA-162909,Host Interactions of HIV factors,Homo sapiens
11143,R-HSA-450520,HuR (ELAVL1) binds and stabilizes mRNA,Homo sapiens
11144,R-HSA-2142850,Hyaluronan biosynthesis and export,Homo sapiens
11145,R-HSA-2142845,Hyaluronan metabolism,Homo sapiens
11146,R-HSA-2160916,Hyaluronan uptake and degradation,Homo sapiens
11147,R-HSA-1483115,Hydrolysis of LPC,Homo sapiens
11148,R-HSA-1483152,Hydrolysis of LPE,Homo sapiens
11149,R-HSA-3296197,Hydroxycarboxylic acid-binding receptors,Homo sapiens
11150,R-HSA-204626,Hypusine synthesis from eIF5A-lysine,Homo sapiens
11151,R-HSA-2428924,IGF1R signaling cascade,Homo sapiens
11152,R-HSA-5602636,IKBKB deficiency causes SCID,Homo sapiens
11153,R-HSA-5603027,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR),Homo sapiens
11154,R-HSA-937041,IKK complex recruitment mediated by RIP1,Homo sapiens
11155,R-HSA-6788467,IL-6-type cytokine receptor ligand interactions,Homo sapiens
11156,R-HSA-1855196,IP3 and IP4 transport between cytosol and nucleus,Homo sapiens
11157,R-HSA-1855229,IP6 and IP7 transport between cytosol and nucleus,Homo sapiens
11158,R-HSA-1855215,IPs transport between ER lumen and cytosol,Homo sapiens
11159,R-HSA-1855156,IPs transport between ER lumen and nucleus,Homo sapiens
11160,R-HSA-1855184,IPs transport between cytosol and ER lumen,Homo sapiens
11161,R-HSA-1855192,IPs transport between nucleus and ER lumen,Homo sapiens
11162,R-HSA-1855170,IPs transport between nucleus and cytosol,Homo sapiens
11163,R-HSA-937039,IRAK1 recruits IKK complex,Homo sapiens
11164,R-HSA-975144,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,Homo sapiens
11165,R-HSA-937042,IRAK2 mediated activation of TAK1 complex,Homo sapiens
11166,R-HSA-975163,IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,Homo sapiens
11167,R-HSA-5603041,IRAK4 deficiency (TLR2/4),Homo sapiens
11168,R-HSA-5603037,IRAK4 deficiency (TLR5),Homo sapiens
11169,R-HSA-381070,IRE1alpha activates chaperones,Homo sapiens
11170,R-HSA-1606341,IRF3 mediated activation of type 1 IFN,Homo sapiens
11171,R-HSA-3270619,IRF3-mediated induction of type I IFN,Homo sapiens
11172,R-HSA-74713,IRS activation,Homo sapiens
11173,R-HSA-112399,IRS-mediated signalling,Homo sapiens
11174,R-HSA-2428928,IRS-related events triggered by IGF1R,Homo sapiens
11175,R-HSA-1169408,ISG15 antiviral mechanism,Homo sapiens
11176,R-HSA-5603029,IkBA variant leads to EDA-ID,Homo sapiens
11177,R-HSA-9674396,Imatinib-resistant PDGFR mutants,Homo sapiens
11178,R-HSA-168256,Immune System,Homo sapiens
11179,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Homo sapiens
11180,R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,Homo sapiens
11181,R-HSA-428543,Inactivation of CDC42 and RAC1,Homo sapiens
11182,R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",Homo sapiens
11183,R-HSA-400508,"Incretin synthesis, secretion, and inactivation",Homo sapiens
11184,R-HSA-9635486,Infection with Mycobacterium tuberculosis,Homo sapiens
11185,R-HSA-5663205,Infectious disease,Homo sapiens
11186,R-HSA-622312,Inflammasomes,Homo sapiens
11187,R-HSA-168255,Influenza Infection,Homo sapiens
11188,R-HSA-168273,Influenza Viral RNA Transcription and Replication,Homo sapiens
11189,R-HSA-168277,Influenza Virus Induced Apoptosis,Homo sapiens
11190,R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Homo sapiens
11191,R-HSA-168315,Inhibition of Host mRNA Processing and RNA Silencing,Homo sapiens
